#,date,symbol,direction,entry_time_et,exit_time_et,qty,fill,exit_price,pnl,fee,equity_after_this_trade_closed
22,2026-08-12,QQQ,CALL,10:05,10:14,2,1.48,1.61,26.0,3.0,432.0
23,2026-08-12,SPY,CALL,10:20,10:30,3,1.01,1.05,12.0,4.5,439.5
24,2026-08-12,INTC,CALL,10:35,10:46,4,0.63,0.69,24.0,6.0,453.0
25,2026-08-12,IWM,PUT,10:40,11:13,3,0.44,0.26,-54.0,4.5,397.5
26,2026-08-12,MSFT,PUT,10:50,11:08,1,1.79,2.03,24.0,1.5,421.5
27,2026-08-12,NVDA,CALL,11:20,11:34,4,0.39,0.25,-56.0,6.0,359.5
28,2026-08-13,GOOG,CALL,09:35,10:25,1,2.25,2.45,20.0,1.5,376.5
29,2026-08-13,IWM,CALL,09:55,10:10,1,0.79,0.99,20.0,1.5,396.5
30,2026-08-13,TSLA,CALL,11:10,11:24,1,2.47,2.85,38.0,1.5,433.0
31,2026-08-14,SPY,CALL,09:40,10:22,2,1.15,0.78,-74.0,3.0,365.5
32,2026-08-14,QQQ,CALL,09:40,09:47,1,1.3,1.44,14.0,1.5,442.5
33,2026-08-14,IWM,CALL,09:55,10:41,2,0.72,0.91,38.0,3.0,403.5
34,2026-08-14,INTC,PUT,11:30,11:46,4,0.61,0.72,44.0,6.0,441.5
35,2026-08-17,INTC,PUT,09:35,09:44,4,0.82,0.55,-108.0,6.0,327.5
36,2026-08-17,QQQ,CALL,09:45,09:57,2,1.19,1.45,52.0,3.0,375.0
37,2026-08-17,IWM,PUT,09:50,10:03,1,0.62,0.76,14.0,1.5,389.0
38,2026-08-17,SPY,PUT,10:15,10:30,4,0.53,0.53,0.0,6.0,383.0
39,2026-08-18,SPY,PUT,11:00,11:46,2,1.1,0.7,-80.0,3.0,298.5
40,2026-08-18,QQQ,PUT,11:35,11:47,1,0.99,0.65,-34.0,1.5,264.5
41,2026-08-19,SPY,CALL,09:40,09:49,1,1.03,0.87,-16.0,1.5,245.5
42,2026-08-19,QQQ,PUT,09:45,09:54,1,0.96,2.1,114.0,1.5,358.0
43,2026-08-19,NVDA,PUT,09:50,09:54,1,0.64,0.77,13.0,1.5,371.0
44,2026-08-19,MSFT,CALL,10:05,15:50,1,2.41,2.4,-1.0,1.5,382.5
45,2026-08-19,IWM,CALL,10:25,10:35,1,0.77,0.94,17.0,1.5,385.0
46,2026-08-19,TSLA,CALL,10:35,10:48,1,0.84,2.66,182.0,1.5,564.5
47,2026-08-20,SPY,PUT,09:55,10:02,3,1.37,1.49,36.0,4.5,596.0
48,2026-08-20,TSLA,PUT,10:05,10:53,1,2.95,4.66,171.0,1.5,765.5
49,2026-08-20,IWM,PUT,11:05,11:14,4,0.36,0.58,88.0,6.0,847.5
50,2026-08-21,SPY,CALL,09:40,09:54,4,1.4,0.95,-180.0,6.0,658.5
51,2026-08-21,GOOG,CALL,09:45,10:22,2,1.01,1.15,28.0,3.0,623.0
52,2026-08-21,QQQ,PUT,09:55,10:09,1,1.95,1.36,-59.0,1.5,596.5
53,2026-08-21,NVDA,PUT,09:55,15:50,1,1.78,1.77,-1.0,1.5,634.5
54,2026-08-21,MSFT,CALL,10:10,10:17,1,1.2,1.34,14.0,1.5,637.0
55,2026-08-21,TSLA,CALL,11:30,11:49,1,1.83,3.66,183.0,1.5,817.5
56,2026-08-24,MSFT,CALL,09:45,09:56,3,1.61,2.08,141.0,4.5,952.5
57,2026-08-24,META,CALL,09:55,10:05,1,2.29,3.2,91.0,1.5,1043.5
58,2026-08-24,IWM,PUT,10:20,11:13,4,0.68,0.75,28.0,6.0,1050.5
59,2026-08-24,SPY,PUT,11:00,11:24,4,0.6,0.87,108.0,6.0,1158.5
60,2026-08-24,INTC,PUT,11:00,11:26,4,0.44,0.28,-64.0,6.0,1094.5
61,2026-08-24,QQQ,PUT,11:10,11:26,2,1.11,0.76,-70.0,3.0,1024.5
62,2026-08-25,GOOG,PUT,10:20,11:40,2,2.78,3.3,104.0,3.0,1121.0
63,2026-08-25,QQQ,CALL,11:30,11:46,3,0.98,0.63,-105.0,4.5,1016.0
64,2026-08-25,MSFT,CALL,11:50,14:09,3,2.53,2.85,96.0,4.5,1101.5
65,2026-08-25,IWM,CALL,11:55,12:02,4,0.3,0.33,12.0,6.0,1113.5
66,2026-08-26,MSFT,CALL,09:35,09:52,2,3.11,3.85,148.0,3.0,1252.5
67,2026-08-26,IWM,CALL,09:40,09:47,4,0.56,0.74,72.0,6.0,1324.5
68,2026-08-26,META,CALL,09:55,10:08,4,2.22,4.7,992.0,6.0,2310.5
69,2026-08-26,TSLA,PUT,10:20,10:31,4,1.44,2.4,384.0,6.0,2688.5
70,2026-08-26,GOOG,PUT,11:15,13:17,4,3.2,3.94,296.0,6.0,2978.5
71,2026-08-27,SPY,CALL,09:35,09:47,4,1.29,1.95,264.0,6.0,3230.5
72,2026-08-27,IWM,CALL,09:35,09:41,4,0.19,0.32,52.0,6.0,3282.5
73,2026-08-27,QQQ,CALL,09:50,09:56,4,1.18,1.4,88.0,6.0,3354.0
74,2026-08-27,TSLA,CALL,09:50,10:03,4,3.36,3.85,196.0,6.0,3550.0
75,2026-08-27,MSFT,CALL,09:50,10:36,3,3.42,7.42,1200.0,4.5,4744.0
76,2026-08-27,GOOG,PUT,10:10,12:33,4,2.29,1.6,-276.0,6.0,4456.0
77,2026-08-27,META,PUT,10:50,15:50,4,4.82,5.25,172.0,6.0,4628.0
78,2026-08-27,NVDA,CALL,11:50,12:50,4,1.43,3.2,708.0,6.0,5336.0
79,2026-08-28,QQQ,CALL,09:35,09:50,4,1.88,2.43,220.0,6.0,5538.0
80,2026-08-28,NVDA,CALL,09:35,15:50,4,2.19,2.18,-4.0,6.0,5888.0
81,2026-08-28,INTC,CALL,09:40,09:52,4,0.79,0.9,44.0,6.0,5576.0
82,2026-08-28,GOOG,CALL,09:50,10:04,4,1.21,1.2,-4.0,6.0,5572.0
83,2026-08-28,TSLA,PUT,10:10,10:18,4,2.03,2.1,28.0,6.0,5588.0
84,2026-08-28,MSFT,CALL,10:15,10:24,4,1.27,2.06,316.0,6.0,5904.0
85,2026-08-28,META,CALL,10:40,10:56,4,1.61,7.35,2296.0,6.0,8184.0
86,2026-08-28,IWM,PUT,10:45,10:50,4,0.44,0.48,16.0,6.0,8200.0
87,2026-08-31,QQQ,PUT,09:35,09:43,4,1.18,1.32,56.0,6.0,8244.0
88,2026-08-31,META,PUT,09:40,09:47,4,2.3,3.15,340.0,6.0,8578.0
89,2026-08-31,INTC,CALL,09:45,09:57,4,0.73,0.47,-104.0,6.0,8474.0
90,2026-08-31,MSFT,PUT,10:20,10:31,4,2.68,1.73,-380.0,6.0,8088.0
91,2026-08-31,SPY,PUT,10:45,10:58,4,0.72,0.49,-92.0,6.0,7990.0
92,2026-08-31,IWM,PUT,11:35,13:13,4,0.3,0.3,0.0,6.0,7978.0
93,2026-08-31,TSLA,CALL,11:40,11:59,4,1.63,2.37,296.0,6.0,8274.0
